request_id,request_type,node_id,node_type,runner,start_timestamp,completion_timestamp
0.0,2.0,0,PROMPT,h100-80gb_0,0.00187106250965,0.1828522237776721
0.0,2.0,1,TOKEN,h100-80gb_25,0.20978741970052367,0.38642365903784726
0.0,2.0,2,KVCacheTransfer,DummyLink,0.1828522237776721,0.20978741970052367
7.0,2.0,0,PROMPT,h100-80gb_6,0.139996047780765,0.20823961738018223
7.0,2.0,1,TOKEN,h100-80gb_32,0.21629587653545568,1.2408087730360724
7.0,2.0,2,KVCacheTransfer,DummyLink,0.20823961738018223,0.21629587653545568
15.0,2.0,0,PROMPT,h100-80gb_2,0.5538607112010355,0.6763302625479456
15.0,2.0,1,TOKEN,h100-80gb_39,0.6938072980704065,1.2590529960973305
15.0,2.0,2,KVCacheTransfer,DummyLink,0.6763302625479456,0.6938072980704065
16.0,2.0,0,PROMPT,h100-80gb_4,0.5552757509205201,0.7431563982588948
16.0,2.0,1,TOKEN,h100-80gb_34,2.0291946087524715,2.34722742888705
16.0,2.0,2,KVCacheTransfer,DummyLink,0.7431563982588948,0.7711944231612385
14.0,2.0,0,PROMPT,h100-80gb_1,0.5277700142907709,0.7441841294455191
14.0,2.0,1,TOKEN,h100-80gb_38,0.7767830063986442,3.0377982389979685
14.0,2.0,2,KVCacheTransfer,DummyLink,0.7441841294455191,0.7767830063986442
39.0,2.0,0,PROMPT,h100-80gb_5,1.4901850400877164,1.6297692849336227
39.0,2.0,1,TOKEN,h100-80gb_26,2.839308092306511,3.404673820152459
39.0,2.0,2,KVCacheTransfer,DummyLink,1.6297692849336227,1.6500875069795211
70.0,2.0,0,PROMPT,h100-80gb_2,2.661817552681495,3.084640036500613
70.0,2.0,1,TOKEN,h100-80gb_35,3.5771746571571157,3.7892160015418117
70.0,2.0,2,KVCacheTransfer,DummyLink,3.084640036500613,3.139370261109988
67.0,2.0,0,PROMPT,h100-80gb_0,2.5368066220453147,2.668695053469303
67.0,2.0,1,TOKEN,h100-80gb_34,3.30123829996339,3.8314130300067117
67.0,2.0,2,KVCacheTransfer,DummyLink,2.668695053469303,2.687779602419498
83.0,2.0,0,PROMPT,h100-80gb_1,3.0009128029265697,3.355197739654179
